--time	Susceptibles	Exposed	Infected	Recovered	Deaths	
62.7999999999961	760352.589389358	381.040777698451	545.972901361756	2804.3959014231	0.00103015932834443	
62.8099999999961	760351.139922763	381.225705562823	546.216601131742	2805.41674001084	0.00103053210482674	
62.8199999999961	760349.689755479	381.410720411133	546.460454139794	2806.43803906553	0.00103090504771626	
62.8299999999961	760348.238887179	381.595822281574	546.70446039452	2807.45979886723	0.00103127815711761	
62.8399999999961	760346.787317536	381.781011212354	546.948619904627	2808.482019696	0.00103165143313539	
62.8499999999961	760345.335046223	381.966287241693	547.192932678924	2809.50470183196	0.00103202487587421	
62.8599999999961	760343.882072913	382.151650407827	547.437398726319	2810.52784555525	0.00103239848543872	
62.8699999999961	760342.428397278	382.337100749005	547.68201805582	2811.55145114602	0.00103277226193353	
62.8799999999961	760340.97401899	382.52263830349	547.926790676533	2812.57551888446	0.00103314620546328	
62.8899999999961	760339.518937723	382.708263109561	548.171716597667	2813.6000490508	0.00103352031613262	
62.8999999999961	760338.063153147	382.893975205509	548.416795828527	2814.62504192526	0.0010338945940462	
62.9099999999961	760336.606664936	383.07977462964	548.662028378521	2815.65049778813	0.00103426903930867	
62.9199999999961	760335.14947276	383.265661420272	548.907414257153	2816.67641691971	0.00103464365202469	
62.929999999996	760333.691576292	383.451635615741	549.152953474028	2817.70279960031	0.00103501843229893	
62.939999999996	760332.232975204	383.637697254394	549.398646038849	2818.7296461103	0.00103539338023607	
62.949999999996	760330.773669166	383.823846374593	549.644491961419	2819.75695673006	0.0010357684959408	
62.959999999996	760329.313657851	384.010083014715	549.890491251638	2820.78473174	0.00103614377951779	
62.969999999996	760327.852940929	384.196407213149	550.136643919507	2821.81297142056	0.00103651923107175	
62.979999999996	760326.39151807	384.382819008301	550.382949975123	2822.84167605221	0.00103689485070737	
62.989999999996	760324.929388948	384.569318438588	550.629409428684	2823.87084591545	0.00103727063852937	
62.999999999996	760323.466553231	384.755905542444	550.876022290484	2824.90048129081	0.00103764659464247	
63.009999999996	760322.00301059	384.942580358314	551.122788570917	2825.93058245885	0.00103802271915138	
63.019999999996	760320.538760697	385.12934292466	551.369708280473	2826.96114970015	0.00103839901216083	
63.029999999996	760319.07380322	385.316193279957	551.616781429743	2827.99218329533	0.00103877547377558	
63.039999999996	760317.608137832	385.503131462693	551.864008029412	2829.02368352503	0.00103915210410035	
63.049999999996	760316.1417642	385.690157511372	552.111388090266	2830.05565066993	0.0010395289032399	
63.059999999996	760314.674681997	385.877271464512	552.358921623187	2831.08808501074	0.001039905871299	
63.069999999996	760313.20689089	386.064473360643	552.606608639154	2832.1209868282	0.0010402830083824	
63.079999999996	760311.73839055	386.251763238311	552.854449149244	2833.15435640307	0.00104066031459489	
63.089999999996	760310.269180646	386.439141136076	553.102443164632	2834.18819401616	0.00104103779004125	
63.099999999996	760308.799260848	386.626607092512	553.35059069659	2835.22249994828	0.00104141543482626	
63.109999999996	760307.328630825	386.814161146206	553.598891756484	2836.2572744803	0.00104179324905472	
63.119999999996	760305.857290245	387.001803335761	553.847346355782	2837.29251789311	0.00104217123283145	
